Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won
2011-01-30,Brisbane,1,4,0,Australia,Australia,24.0,Australia,England,Australia
2011-01-30,Brisbane,2,4,0,Australia,Australia,12.0,Australia,England,Australia
2011-01-30,Brisbane,3,4,0,Australia,Australia,8.0,Australia,England,Australia
2011-01-30,Brisbane,4,6,0,Australia,Australia,9.0,Australia,England,Australia
2011-01-30,Brisbane,5,6,0,Australia,Australia,7.2,Australia,England,Australia
2011-01-30,Brisbane,6,6,0,Australia,Australia,6.0,Australia,England,Australia
2011-01-30,Brisbane,7,7,0,Australia,Australia,6.0,Australia,England,Australia
2011-01-30,Brisbane,8,8,0,Australia,Australia,6.0,Australia,England,Australia
2011-01-30,Brisbane,9,8,0,Australia,Australia,5.333333333333333,Australia,England,Australia
2011-01-30,Brisbane,10,8,0,Australia,Australia,4.8,Australia,England,Australia
2011-01-30,Brisbane,11,9,0,Australia,Australia,4.909090909090909,Australia,England,Australia
2011-01-30,Brisbane,12,10,0,Australia,Australia,5.0,Australia,England,Australia
2011-01-30,Brisbane,12,10,0,Australia,Australia,5.0,Australia,England,Australia
2011-01-30,Brisbane,13,10,0,Australia,Australia,4.615384615384615,Australia,England,Australia
2011-01-30,Brisbane,14,10,0,Australia,Australia,4.285714285714286,Australia,England,Australia
2011-01-30,Brisbane,15,14,0,Australia,Australia,5.6,Australia,England,Australia
2011-01-30,Brisbane,16,15,0,Australia,Australia,5.625,Australia,England,Australia
2011-01-30,Brisbane,17,16,0,Australia,Australia,5.647058823529412,Australia,England,Australia
2011-01-30,Brisbane,18,17,0,Australia,Australia,5.666666666666667,Australia,England,Australia
2011-01-30,Brisbane,19,17,0,Australia,Australia,5.368421052631579,Australia,England,Australia
2011-01-30,Brisbane,20,17,0,Australia,Australia,5.1,Australia,England,Australia
2011-01-30,Brisbane,21,17,0,Australia,Australia,4.857142857142857,Australia,England,Australia
2011-01-30,Brisbane,22,17,0,Australia,Australia,4.636363636363637,Australia,England,Australia
2011-01-30,Brisbane,23,17,0,Australia,Australia,4.434782608695652,Australia,England,Australia
2011-01-30,Brisbane,24,18,0,Australia,Australia,4.5,Australia,England,Australia
2011-01-30,Brisbane,24,19,0,Australia,Australia,4.75,Australia,England,Australia
2011-01-30,Brisbane,25,20,0,Australia,Australia,4.8,Australia,England,Australia
2011-01-30,Brisbane,26,20,0,Australia,Australia,4.615384615384615,Australia,England,Australia
2011-01-30,Brisbane,27,20,0,Australia,Australia,4.444444444444445,Australia,England,Australia
2011-01-30,Brisbane,28,20,0,Australia,Australia,4.285714285714286,Australia,England,Australia
2011-01-30,Brisbane,29,20,0,Australia,Australia,4.137931034482759,Australia,England,Australia
2011-01-30,Brisbane,30,21,0,Australia,Australia,4.2,Australia,England,Australia
2011-01-30,Brisbane,30,25,0,Australia,Australia,5.0,Australia,England,Australia
2011-01-30,Brisbane,31,25,0,Australia,Australia,4.838709677419355,Australia,England,Australia
2011-01-30,Brisbane,32,25,0,Australia,Australia,4.6875,Australia,England,Australia
2011-01-30,Brisbane,33,29,0,Australia,Australia,5.2727272727272725,Australia,England,Australia
2011-01-30,Brisbane,34,30,0,Australia,Australia,5.294117647058823,Australia,England,Australia
2011-01-30,Brisbane,35,31,0,Australia,Australia,5.314285714285714,Australia,England,Australia
2011-01-30,Brisbane,36,31,0,Australia,Australia,5.166666666666667,Australia,England,Australia
2011-01-30,Brisbane,37,31,0,Australia,Australia,5.027027027027027,Australia,England,Australia
2011-01-30,Brisbane,38,31,0,Australia,Australia,4.894736842105263,Australia,England,Australia
2011-01-30,Brisbane,39,31,0,Australia,Australia,4.769230769230769,Australia,England,Australia
