Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won
2006-08-13,Nairobi,1,0,0,Kenya,Kenya,0,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,2,0,0,Kenya,Kenya,0,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,3,0,0,Kenya,Kenya,0,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,4,0,0,Kenya,Kenya,0,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,5,0,0,Kenya,Kenya,0,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,6,1,0,Kenya,Kenya,1,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,7,1,0,Kenya,Kenya,0,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,8,2,0,Kenya,Kenya,1,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,9,2,0,Kenya,Kenya,1,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,10,2,0,Kenya,Kenya,1,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,11,7,0,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,12,8,0,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,12,8,0,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,12,8,0,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,12,8,0,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,13,9,0,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,14,9,0,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,15,9,0,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,16,10,0,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,17,10,0,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,18,10,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,18,10,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,19,10,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,20,10,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,21,14,1,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,22,16,1,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,23,18,1,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,24,18,1,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,25,18,1,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,26,18,1,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,27,19,1,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,28,20,1,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,29,20,1,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,30,20,1,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,31,20,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,32,21,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,33,21,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,34,21,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,35,21,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,36,21,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,37,25,1,Kenya,Kenya,4,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,38,25,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,39,25,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,40,25,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,41,25,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,42,26,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,43,27,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,44,27,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,45,27,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,46,27,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,47,28,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,48,28,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,49,29,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,50,32,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,51,33,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,52,33,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,53,33,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,54,33,1,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,54,33,2,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,55,33,2,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,56,37,2,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,57,37,2,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,58,37,2,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,59,38,2,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,60,38,2,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,61,38,2,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,62,38,2,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,63,38,2,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,64,40,2,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,65,40,3,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,66,40,3,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,67,40,3,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,68,40,3,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,69,40,3,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,70,40,4,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,71,41,4,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,72,42,4,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,72,42,4,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,73,42,4,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,74,42,4,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,75,42,4,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,76,42,4,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,77,42,5,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,78,42,5,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,79,43,5,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,80,43,5,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,81,44,5,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,82,44,5,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,83,45,5,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,84,45,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,84,45,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,85,46,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,86,46,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,87,46,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,88,46,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,89,46,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,90,46,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,91,46,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,92,48,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,93,48,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,94,49,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,95,49,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,96,49,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,97,49,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,98,49,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,99,49,6,Kenya,Kenya,2,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,100,53,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,101,53,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,102,54,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
2006-08-13,Nairobi,103,54,6,Kenya,Kenya,3,Kenya,Bangladesh,Bangladesh
