Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won,form_difference,wrl
2011-03-04,Mirpur,1,0,0,Bangladesh,Bangladesh,0.0,Bangladesh,West Indies,West Indies,0.0,0.0
2011-03-04,Mirpur,2,0,0,Bangladesh,Bangladesh,0.0,Bangladesh,West Indies,West Indies,0.0,0.0
2011-03-04,Mirpur,3,0,1,Bangladesh,Bangladesh,0.0,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,4,0,1,Bangladesh,Bangladesh,0.0,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,5,4,1,Bangladesh,Bangladesh,4.8,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,6,4,1,Bangladesh,Bangladesh,4.0,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,7,5,1,Bangladesh,Bangladesh,4.285714285714286,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,8,5,1,Bangladesh,Bangladesh,3.75,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,9,5,1,Bangladesh,Bangladesh,3.3333333333333335,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,10,9,1,Bangladesh,Bangladesh,5.4,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,11,10,1,Bangladesh,Bangladesh,5.454545454545454,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,12,13,1,Bangladesh,Bangladesh,6.5,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,13,14,1,Bangladesh,Bangladesh,6.461538461538462,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,14,14,1,Bangladesh,Bangladesh,6.0,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,15,15,1,Bangladesh,Bangladesh,6.0,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,16,15,1,Bangladesh,Bangladesh,5.625,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,17,15,1,Bangladesh,Bangladesh,5.294117647058823,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,18,15,1,Bangladesh,Bangladesh,5.0,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,19,16,1,Bangladesh,Bangladesh,5.052631578947368,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,20,16,1,Bangladesh,Bangladesh,4.8,Bangladesh,West Indies,West Indies,0.0,0.65
2011-03-04,Mirpur,21,16,2,Bangladesh,Bangladesh,4.571428571428571,Bangladesh,West Indies,West Indies,0.0,1.43
2011-03-04,Mirpur,22,16,2,Bangladesh,Bangladesh,4.363636363636363,Bangladesh,West Indies,West Indies,0.0,1.43
2011-03-04,Mirpur,23,16,2,Bangladesh,Bangladesh,4.173913043478261,Bangladesh,West Indies,West Indies,0.0,1.43
2011-03-04,Mirpur,24,16,2,Bangladesh,Bangladesh,4.0,Bangladesh,West Indies,West Indies,0.0,1.43
2011-03-04,Mirpur,25,18,2,Bangladesh,Bangladesh,4.32,Bangladesh,West Indies,West Indies,0.0,1.43
2011-03-04,Mirpur,26,18,2,Bangladesh,Bangladesh,4.153846153846154,Bangladesh,West Indies,West Indies,0.0,1.43
2011-03-04,Mirpur,27,22,2,Bangladesh,Bangladesh,4.888888888888889,Bangladesh,West Indies,West Indies,0.0,1.43
2011-03-04,Mirpur,28,22,2,Bangladesh,Bangladesh,4.714285714285714,Bangladesh,West Indies,West Indies,0.0,1.43
2011-03-04,Mirpur,29,24,2,Bangladesh,Bangladesh,4.9655172413793105,Bangladesh,West Indies,West Indies,0.0,1.43
2011-03-04,Mirpur,30,25,2,Bangladesh,Bangladesh,5.0,Bangladesh,West Indies,West Indies,0.0,1.43
2011-03-04,Mirpur,30,25,2,Bangladesh,Bangladesh,5.0,Bangladesh,West Indies,West Indies,0.0,1.43
2011-03-04,Mirpur,31,25,3,Bangladesh,Bangladesh,4.838709677419355,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,32,26,3,Bangladesh,Bangladesh,4.875,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,33,30,3,Bangladesh,Bangladesh,5.454545454545454,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,34,30,3,Bangladesh,Bangladesh,5.294117647058823,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,35,30,3,Bangladesh,Bangladesh,5.142857142857143,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,36,30,3,Bangladesh,Bangladesh,5.0,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,37,30,3,Bangladesh,Bangladesh,4.864864864864865,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,38,30,3,Bangladesh,Bangladesh,4.7368421052631575,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,39,32,3,Bangladesh,Bangladesh,4.923076923076923,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,40,32,3,Bangladesh,Bangladesh,4.8,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,41,32,3,Bangladesh,Bangladesh,4.682926829268292,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,42,32,3,Bangladesh,Bangladesh,4.571428571428571,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,43,32,3,Bangladesh,Bangladesh,4.465116279069767,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,44,32,3,Bangladesh,Bangladesh,4.363636363636363,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,45,33,3,Bangladesh,Bangladesh,4.4,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,46,33,3,Bangladesh,Bangladesh,4.304347826086956,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,47,34,3,Bangladesh,Bangladesh,4.340425531914893,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,48,35,3,Bangladesh,Bangladesh,4.375,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,49,36,3,Bangladesh,Bangladesh,4.408163265306122,Bangladesh,West Indies,West Indies,0.0,2.36
2011-03-04,Mirpur,50,36,3,Bangladesh,Bangladesh,4.32,Bangladesh,West Indies,West Indies,0.0,2.36
