Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won,form_difference
2007-02-11,Cape Town,1,5,0,South Africa,South Africa,30.0,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,2,5,0,South Africa,South Africa,15.0,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,3,5,0,South Africa,South Africa,10.0,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,4,5,0,South Africa,South Africa,7.5,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,5,7,0,South Africa,South Africa,8.4,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,6,11,0,South Africa,South Africa,11.0,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,6,11,0,South Africa,South Africa,11.0,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,7,13,0,South Africa,South Africa,11.142857142857142,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,8,13,0,South Africa,South Africa,9.75,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,9,13,0,South Africa,South Africa,8.666666666666666,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,10,13,0,South Africa,South Africa,7.8,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,11,14,0,South Africa,South Africa,7.636363636363637,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,12,14,0,South Africa,South Africa,7.0,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,12,14,0,South Africa,South Africa,7.0,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,13,18,0,South Africa,South Africa,8.307692307692308,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,14,19,0,South Africa,South Africa,8.142857142857142,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,15,19,0,South Africa,South Africa,7.6,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,16,20,0,South Africa,South Africa,7.5,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,17,20,0,South Africa,South Africa,7.0588235294117645,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,18,20,0,South Africa,South Africa,6.666666666666667,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,19,20,0,South Africa,South Africa,6.315789473684211,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,20,21,0,South Africa,South Africa,6.3,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,21,21,0,South Africa,South Africa,6.0,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,22,21,0,South Africa,South Africa,5.7272727272727275,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,23,21,0,South Africa,South Africa,5.478260869565218,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,24,25,0,South Africa,South Africa,6.25,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,25,25,0,South Africa,South Africa,6.0,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,26,25,0,South Africa,South Africa,5.769230769230769,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,27,26,0,South Africa,South Africa,5.777777777777778,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,28,27,0,South Africa,South Africa,5.785714285714286,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,29,27,0,South Africa,South Africa,5.586206896551724,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,30,28,0,South Africa,South Africa,5.6,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,30,29,0,South Africa,South Africa,5.8,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,31,29,0,South Africa,South Africa,5.612903225806452,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,32,30,0,South Africa,South Africa,5.625,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,33,30,0,South Africa,South Africa,5.454545454545454,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,34,31,0,South Africa,South Africa,5.470588235294118,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,35,35,0,South Africa,South Africa,6.0,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,36,38,0,South Africa,South Africa,6.333333333333333,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,37,38,0,South Africa,South Africa,6.162162162162162,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,38,38,0,South Africa,South Africa,6.0,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,39,38,0,South Africa,South Africa,5.846153846153846,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,40,39,0,South Africa,South Africa,5.85,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,41,43,0,South Africa,South Africa,6.2926829268292686,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,42,43,0,South Africa,South Africa,6.142857142857143,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,43,43,0,South Africa,South Africa,6.0,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,44,43,0,South Africa,South Africa,5.863636363636363,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,45,44,0,South Africa,South Africa,5.866666666666666,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,46,45,0,South Africa,South Africa,5.869565217391305,Pakistan,South Africa,South Africa,20.41
