Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won,form_difference
2015-07-12,No Info,1,1,0,Zimbabwe,India,6.0,India,Zimbabwe,India,100.0
2015-07-12,No Info,2,1,0,Zimbabwe,India,3.0,India,Zimbabwe,India,100.0
2015-07-12,No Info,3,2,0,Zimbabwe,India,4.0,India,Zimbabwe,India,100.0
2015-07-12,No Info,4,2,0,Zimbabwe,India,3.0,India,Zimbabwe,India,100.0
2015-07-12,No Info,5,2,0,Zimbabwe,India,2.4,India,Zimbabwe,India,100.0
2015-07-12,No Info,6,2,0,Zimbabwe,India,2.0,India,Zimbabwe,India,100.0
2015-07-12,No Info,7,4,0,Zimbabwe,India,3.4285714285714284,India,Zimbabwe,India,100.0
2015-07-12,No Info,8,4,0,Zimbabwe,India,3.0,India,Zimbabwe,India,100.0
2015-07-12,No Info,9,4,0,Zimbabwe,India,2.6666666666666665,India,Zimbabwe,India,100.0
2015-07-12,No Info,10,4,0,Zimbabwe,India,2.4,India,Zimbabwe,India,100.0
2015-07-12,No Info,11,4,0,Zimbabwe,India,2.1818181818181817,India,Zimbabwe,India,100.0
2015-07-12,No Info,12,4,0,Zimbabwe,India,2.0,India,Zimbabwe,India,100.0
2015-07-12,No Info,13,4,0,Zimbabwe,India,1.8461538461538463,India,Zimbabwe,India,100.0
2015-07-12,No Info,14,5,0,Zimbabwe,India,2.142857142857143,India,Zimbabwe,India,100.0
2015-07-12,No Info,15,5,0,Zimbabwe,India,2.0,India,Zimbabwe,India,100.0
2015-07-12,No Info,16,9,0,Zimbabwe,India,3.375,India,Zimbabwe,India,100.0
2015-07-12,No Info,17,9,0,Zimbabwe,India,3.176470588235294,India,Zimbabwe,India,100.0
2015-07-12,No Info,18,10,0,Zimbabwe,India,3.3333333333333335,India,Zimbabwe,India,100.0
2015-07-12,No Info,18,10,0,Zimbabwe,India,3.3333333333333335,India,Zimbabwe,India,100.0
2015-07-12,No Info,19,11,0,Zimbabwe,India,3.473684210526316,India,Zimbabwe,India,100.0
