Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won
2016-01-06,No Info,1,0,0,Zimbabwe,Afghanistan,0,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,2,1,0,Zimbabwe,Afghanistan,3,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,3,3,0,Zimbabwe,Afghanistan,6,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,4,4,0,Zimbabwe,Afghanistan,6,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,5,4,0,Zimbabwe,Afghanistan,4,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,6,4,0,Zimbabwe,Afghanistan,4,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,6,8,0,Zimbabwe,Afghanistan,8,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,7,8,0,Zimbabwe,Afghanistan,6,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,8,8,0,Zimbabwe,Afghanistan,6,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,9,12,0,Zimbabwe,Afghanistan,8,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,10,13,0,Zimbabwe,Afghanistan,7,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,11,13,0,Zimbabwe,Afghanistan,7,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,12,13,0,Zimbabwe,Afghanistan,6,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,13,13,0,Zimbabwe,Afghanistan,6,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,14,13,0,Zimbabwe,Afghanistan,5,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,15,15,0,Zimbabwe,Afghanistan,6,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,16,19,0,Zimbabwe,Afghanistan,7,Zimbabwe,Afghanistan,Afghanistan
2016-01-06,No Info,17,19,0,Zimbabwe,Afghanistan,6,Zimbabwe,Afghanistan,Afghanistan
