Date,Match_type,Outcome,Overs,Team A,Team B,Winner,Toss,Venue
6/13/2006,ODI,winner England by runs 38,50,Ireland, England,England,bat,Civil Service Cricket Club Stormont
8/30/2006,ODI,no result,50,England, Pakistan,Pakistan,field,Sophia Gardens
9/2/2006,ODI,winner Pakistan by wickets 7,50,England, Pakistan,Pakistan,field,Lord's
9/5/2006,ODI,winner Pakistan by wickets 2,50,England, Pakistan,Pakistan,field,The Rose Bowl
9/8/2006,ODI,winner England by wickets 8,50,England, Pakistan,Pakistan,bat,Trent Bridge
9/10/2006,ODI,winner England by wickets 3,50,England, Pakistan,England,field,Edgbaston
6/17/2006,ODI,winner Sri Lanka by runs 20,50,England, Sri Lanka,England,field,Lord's
6/20/2006,ODI,winner Sri Lanka by runs 46,50,England, Sri Lanka,Sri Lanka,bat,Kennington Oval
6/24/2006,ODI,winner Sri Lanka by wickets 8,50,England, Sri Lanka,England,bat,Riverside Ground
6/28/2006,ODI,winner Sri Lanka by runs 33,50,England, Sri Lanka,Sri Lanka,bat,Old Trafford
7/1/2006,ODI,winner Sri Lanka by wickets 8,50,England, Sri Lanka,England,bat,Headingley
5/23/2006,ODI,winner West Indies by wickets 4,50,West Indies, India,India,bat,Warner Park Basseterre
5/26/2006,ODI,winner West Indies by wickets 6,50,West Indies, India,West Indies,field,Queen's Park Oval Port of Spain
5/28/2006,ODI,winner West Indies by runs 19,50,West Indies, India,India,field,Queen's Park Oval Port of Spain
3/13/2007,ODI,winner West Indies by runs 54,50,West Indies, Pakistan,Pakistan,field,Sabina Park Kingston
3/14/2007,ODI,winner Australia by runs 203,50,Australia, Scotland,Scotland,field,Warner Park Basseterre
3/15/2007,ODI,winner Sri Lanka by runs 243,50,Bermuda, Sri Lanka,Sri Lanka,bat,Queen's Park Oval Port of Spain
3/15/2007,ODI,tie,50,Ireland, Zimbabwe,Zimbabwe,field,Sabina Park Kingston
3/16/2007,ODI,winner South Africa by runs 221,50,Netherlands, South Africa,Netherlands,field,Warner Park Basseterre
3/16/2007,ODI,winner New Zealand by wickets 6,50,England, New Zealand,New Zealand,field,Beausejour Stadium Gros Islet
3/17/2007,ODI,winner Bangladesh by wickets 5,50,Bangladesh, India,India,bat,Queen's Park Oval Port of Spain
3/17/2007,ODI,winner Ireland by wickets 3,50,Ireland, Pakistan,Ireland,field,Sabina Park Kingston
3/18/2007,ODI,winner Australia by runs 229,50,Australia, Netherlands,Australia,bat,Warner Park Basseterre
3/18/2007,ODI,winner England by runs 51,50,Canada, England,Canada,field,Beausejour Stadium Gros Islet
3/19/2007,ODI,winner India by runs 257,50,Bermuda, India,Bermuda,field,Queen's Park Oval Port of Spain
3/19/2007,ODI,winner West Indies by wickets 6,50,West Indies, Zimbabwe,West Indies,field,Sabina Park Kingston
3/20/2007,ODI,winner South Africa by wickets 7,50,Scotland, South Africa,South Africa,field,Warner Park Basseterre
3/20/2007,ODI,winner New Zealand by runs 148,50,Kenya, New Zealand,Kenya,field,Beausejour Stadium Gros Islet
3/21/2007,ODI,winner Sri Lanka by runs 198,50,Bangladesh, Sri Lanka,Bangladesh,field,Queen's Park Oval Port of Spain
3/21/2007,ODI,winner Pakistan by runs 93,50,Pakistan, Zimbabwe,Zimbabwe,field,Sabina Park Kingston
3/22/2007,ODI,winner Netherlands by wickets 8,50,Netherlands, Scotland,Netherlands,field,Warner Park Basseterre
3/22/2007,ODI,winner New Zealand by runs 114,50,Canada, New Zealand,Canada,field,Beausejour Stadium Gros Islet
3/23/2007,ODI,winner Sri Lanka by runs 69,50,India, Sri Lanka,India,field,Queen's Park Oval Port of Spain
3/23/2007,ODI,winner West Indies by wickets 8,50,West Indies, Ireland,Ireland,bat,Sabina Park Kingston
3/24/2007,ODI,winner Australia by runs 83,50,Australia, South Africa,South Africa,field,Warner Park Basseterre
3/24/2007,ODI,winner England by wickets 7,50,England, Kenya,Kenya,bat,Beausejour Stadium Gros Islet
3/25/2007,ODI,winner Bangladesh by wickets 7,50,Bangladesh, Bermuda,Bangladesh,field,Queen's Park Oval Port of Spain
3/27/2007,ODI,winner Australia by runs 103,50,West Indies, Australia,West Indies,field,Sir Vivian Richards Stadium North Sound
3/28/2007,ODI,winner South Africa by wickets 1,50,South Africa, Sri Lanka,Sri Lanka,bat,Providence Stadium
3/29/2007,ODI,winner New Zealand by wickets 7,50,West Indies, New Zealand,New Zealand,field,Sir Vivian Richards Stadium North Sound
3/30/2007,ODI,winner England by runs 48,50,England, Ireland,England,bat,Providence Stadium
3/31/2007,ODI,winner Australia by wickets 10,50,Australia, Bangladesh,Australia,field,Sir Vivian Richards Stadium North Sound
4/1/2007,ODI,winner Sri Lanka by runs 113,50,West Indies, Sri Lanka,West Indies,field,Providence Stadium
4/2/2007,ODI,winner New Zealand by wickets 9,50,Bangladesh, New Zealand,New Zealand,field,Sir Vivian Richards Stadium North Sound
4/3/2007,ODI,winner South Africa by wickets 7,50,Ireland, South Africa,South Africa,field,Providence Stadium
4/4/2007,ODI,winner Sri Lanka by runs 2,50,England, Sri Lanka,England,field,Sir Vivian Richards Stadium North Sound
4/7/2007,ODI,winner Bangladesh by runs 67,50,Bangladesh, South Africa,South Africa,field,Providence Stadium
