Runs,Balls,Toss,Venue,Team1,Team2,Wickets,Date,RPO,form_difference,wrl,Won
210,250,0,Southampton,England,Pakistan,4,2006-09-05,5.04,3.36,2.53,0
222,250,1,Southampton,England,Pakistan,5,2006-09-05,5.328,3.36,1.78,1
148,250,1,Nottingham,Pakistan,England,7,2006-09-08,3.552,49.58,4.95,0
203,250,0,Nottingham,Pakistan,England,2,2006-09-08,4.872,49.58,0.76,1
130,250,0,Birmingham,Pakistan,England,8,2006-09-10,3.12,1.97,6.5,0
213,250,0,London,Sri Lanka,England,6,2006-06-17,5.112,-5385342380.23,2.94,1
183,250,1,London,Sri Lanka,England,6,2006-06-17,4.392,-5385342380.23,3.06,0
249,250,1,London,Sri Lanka,England,2,2006-06-20,5.976,-42.94,0.68,1
228,250,0,London,Sri Lanka,England,5,2006-06-20,5.472,-42.94,1.9,0
187,250,1,Chester-le-Street,England,Sri Lanka,4,2006-06-24,4.488,-57.86,1.84,0
258,250,0,Chester-le-Street,England,Sri Lanka,2,2006-06-24,6.192,-57.86,1.12,1
238,250,1,Manchester,Sri Lanka,England,6,2006-06-28,5.712,62.73,3.56,1
228,250,0,Manchester,Sri Lanka,England,6,2006-06-28,5.472,62.73,2.94,0
250,250,1,Leeds,England,Sri Lanka,4,2006-07-01,6.0,-631.06,1.34,0
219,250,1,St Kitts,India,West Indies,6,2006-05-23,5.256,0.0,2.77,0
189,250,0,St Kitts,India,West Indies,4,2006-05-23,4.536,0.0,2.3,1
163,250,0,Trinidad,India,West Indies,4,2006-05-26,3.912,-2998687221.02,1.96,0
204,250,1,Trinidad,India,West Indies,4,2006-05-26,4.896,-2998687221.02,1.26,1
184,250,0,Trinidad,West Indies,India,4,2006-05-28,4.416,100.0,1.37,1
203,250,1,Trinidad,West Indies,India,7,2006-05-28,4.872,100.0,5.09,0
169,250,0,Jamaica,West Indies,Pakistan,4,2007-03-13,4.056,100.0,1.08,1
152,250,1,Jamaica,West Indies,Pakistan,7,2007-03-13,3.648,100.0,4.36,0
250,250,0,St Kitts,Australia,Scotland,3,2007-03-14,6.0,0.0,1.08,1
267,250,1,Trinidad,Sri Lanka,Bermuda,3,2007-03-15,6.408,0.0,0.9,1
